name,ID
Bebida láctea sin lactosa de fresa Hacendado,1
Ginebra 15 botanicals Blumara,2
Queso fresco batido desnatado Hacendado 0% materia grasa,3
Yogur bífidus desnatado con lima y limón Danone Activia pack de 4 unidades de 120 g.,4
Helado After Dinner Magnum sin gluten 10 ud.,5
Detergente líquido Actilift Ariel 50 lavados.,6
Chuletas de cordero paletilla,7
PHARMALINE gel de ducha atopic bote 750 ml,8
Bífidus con frutas Hacendado,9
ORAL B pasta dentífrica repair blanqueante tubo 75 ml,10
Aceite para el cuidado de la piel Bio-Oil 200 ml.,11
CLA Prozis 90 ud.,12
ISABEL mejillones en salsa vieira 13/18 piezas lata 69 grs,13
Chocolate extrafino negro Hacendado,14
Barra de labios color riche nº 630 L'Oréal 1 ud.,15
Horchata de chufa Chufi Original botella 1 l.,16
Reavivador de ante y nobuk Bosque Verde,17
Patatas fritas lisas Carrefour 170 g.,18
Colutorio diario flúor Fluor-Aid 500 ml.,19
DAEN cera depilatoria en perlas rosa mosqueta caja 200 gr,20
Tomate frito Orlando sin gluten y sin lactosa pack de 3 brik de 210 g.,21
Vino D.O. Rueda blanco verdejo Dama del Lago 75 cl.,22
Champú cuidado clásico para cabello normal o graso Tresemmé 855 ml,23
Chicharrillos en aceite de girasol Hacendado,24
Agua de coco ecológica Cocomi sin gluten brik 1 l.,25
DOVE jabón de manos pastilla 100 gr,26
Arroz con leche La Ermita de San Pedro sin gluten 270 g.,27
FRIZZ EASE champú liso perfecto con queratina tubo 250 ml,28
Mermelada de melocotón categoría extra Carrefour sin gluten 650 g.,29
,30
Yogur líquido con avena sin azúcar añadido Danone Danacol pack de 6 unidades de 100 g.,32
WILKINSON Sword extra beauty 2 maquinilla desechable mujer bolsa 5 uds,33
Cerveza reserva,34
DIXIE pipeta antiparasitaria para perros medianos blíster 3 uds,35
Tomate frito Hacendado,36
Semillas de chía San Blas 350 g.,37
Menú premium para canarios Vitakraft 1Kg,38
Tarta infantil El Rey León congelada,39
Acelgas Ybarra 425 g.,40
Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.,41
Escalopines de salmón sin espinas,42
Vino D.O. Somontano tinto reserva Laus 75 cl.,43
Berlina Fondant Donuts 204 g.,44
Miel de azhar Mellarius 500 g.,45
Seitán tofu ecológico Carrefour Bio 250 g.,46
Anillas a la romana Carrefour 500 g.,47
Bebida Florida Hacendado,48
